Text,Text_length,token_length
waw cool moi je me suis partis mais aucun guide je cherché cet espace pour faire le sky domage je me suis retourné sans ta faire ,129,32
Emm w lotla mlia chwiya ou non  ,32,14
BONSOIR MISTER X vous avez exagéré avec vos critique il y a toujours des anomalies dans les films  mais jai regardé cette vedios jai constaté que cest une perte de temps  vous avez même pas saluer les gens qui ont participées ,226,53
Hi ko please more vedeo long time u desperate ,46,12
   oui mais machkitch tkoun ndhm hadi bd  wlh ghir affaire s ,61,24
Lmorale Yetla Wlh  Rebi Yahafdek Khouna Djamel  ,48,19
Sannaa ana nghir ki yarfok bzf nas nhab nelbes wahdii lebssa ta sana ,69,26
Moi a  ans qui comprends déjà langlais parce que jai était élevé avec ça ,73,19
Chkon rah ychof fi achor f septembre ,37,13
sahbi rak ftop masha allah lik bonne continuation w a  ak djaybha lsénégal ,75,24
akadli la ghonyat itihad babour aloohh hh  ,43,16
NAS TEKBER W TOUB WNTOUMA TEKBROU WTJIW TFESDOU LMOJTAMA ,57,27
Is it possible to do like an internship under you In wildlife photography ,74,15
 hachakom whacha dakm hadik li rahi fi rassi wla la  hh ,56,22
Thank you brother Jawad for these wonderful and enthusiastic vlogs and I wish you more brilliance your brother Younes ,118,24
Hello from Its a good trip ,27,8
Un travail légendaire de Djaffar Gacem ,39,15
Bas si ma génération était parfaite je le saurais ,50,12
Elah la nta mrid sahby  ktltni bdhk elah ,41,18
Soubhanallah machallah wa el hamdoulilleh Allah iberek aala el djazaier bladna el ghalia ,89,30
grave c la er fois que je les vois ,35,11
Vous faites un très beau travail avec ce genre de podcast  je vous félicite vraiment ,85,20
Merci pour ce partage dexpérience Très intéressant et très important ,69,14
Un travail de qualité tu mérite des millions de vus ,52,13
Mam ana mskin bsh cjust action ,31,11
allah ibark khay khoubai tal ghyabk ya ghzali ,46,19
rabi yahafdek khoya wallah ila dhakkt men galbi ,48,18
 Ani hab nfhm Wach al ,22,8
Hadi li bdit biha charra ami salah ,35,13
Thanks for those words bro Djawad  ,35,10
Hhh jen peux plus de toii ,26,10
bravo khoya mohamed rana nabo tkon lvlog fiha  heure rana makanmalouch man lvideo  rana nabok khoya maroc ,106,33
Macha allah qui lecoute en ce moment liker ,43,13
Li yachti w ychaja anas tina jaime ,35,15
Lhadja Lmliha li tlli lmoral mora mnkml lmaen fhad ramden hh hmdlh li kayna zoom  apres samir wahed maynfe fla télé ylagoo  ,124,47
Yakhi tmenyik yakhimin jitou ya zebi ,37,15
Tellement ça mdrr je réponds à un commentaire qui a ans je suis si nostalgique ,79,22
Youre top I wish that god gives you what you want ,50,14
Gabgayath itichagh awah Machi din itichagh ,43,16
Thank you for the message always u r positive and give messages from your vlogs thank you so much I hope the Algerian mentality change oneday w r so far from them even w r Muslims  anyway Im waiting for your next vlog djawed continue positive ,243,53
Je ne suis pas tout à fait daccord pour donner toutes ces astuces Vous encouragez en quelque sorte ce type démigration ,119,27
Why arent you with National Geographic or Animal Planet Marvellous shots ,73,15
moi je regarde pour le fun car cest DROOLLE ,44,13
C vrai tu vois des ordures au milieu de nulle part sa dégoûte manque de civisme ya ko ,86,25
Amazing Thanks so much for posting this Ive been thinking about riding through parts of Central Asia so this is all the more inspiring,134,25
Mebarek Zaki ok then Forgive my misinterpretation of your message sorry ,72,18
Djamel Alh ytik lkhir khaYi ana rani netbak Mn da chel w rani baghik Dir vloge f sidi Bel abbes ,96,35
yeah We climb even above the green fronds As you can see he is climbing even higher to the very top that we cannot practically see from here At this stage all the harvest is on the truck and now we are moving them inside the storing area so that the sorting out operation begins Come on Lets go Bless this Welcome to heaven Increadible Bless this Come on with me Lets try some heavenly dates You want some  Alright What do we do now We work on the clusters We get rid of all the extra parts All of them should be similar in size And then we cut the cluster into two parts Now we verify each small set to get rid of the odd dates Like this one So we need to filter the dates by removing the unripe or dried ones So every single date should be of high quality Guys bear in mind that even these dried dates are not to go in waste Indeed we feed them to goats mainly  As for these we dry them up and feed them to the cattle as well  So basically everything the palms offer is eventually edible either by humans or cattle we tie these up Where do I put them after that In the boxes just in front of you So we lay them down Bismillah Do we put multiple ones in a the box,1164,247
Respect mn souk ahras   ,24,9
Haha non pas vraiment mais cest gentil merci  ,46,10
besah smahli khouya takel crocodile normale la m vues khkhkhkh ,63,21
WeY hiChem Di GhaYba Bon Courage ,33,13
karim sayah oui seksi ezawech tema fezigouat ikheri les cabanou ,64,23
Merci pour tous les efforts que vous avez fait pour nous et bravo ,66,15
Même  ans après la sortie de cette dinguerie elle est toujours aussi bien ,74,19
Quel niveau  Tu as un niveau toi hahaha ,40,11
Vw polo vs vw polo Sedan ,25,9
Foor hicham khoya wlh ttl bdahk mais ki tkon m babak iir ,57,24
En suite jai deux idées jssi bli incroyables et ytrto el dnya inchalah ms mrftch winha ly nkhdem biha lwla La deuxième de choses ndi just lidée  and no think more apar my mind et jai pas des expériences wla entourage dayr business mkbel so what i can do as a first step  ,271,74
Je viens darriver en France moi Pour soigner mon fils qui est malade depuis  ans en Algérie Et je comprend très bien ce quelle dit malheureusement c la vérité ,159,35
mliha bezef wa el nes calme ,28,11
Ghlatou fi LA FERRARI les freres ,33,13
vous pouvez faire une vidéo pour le nouveau statut auto entrepreneur Merci ,75,14
Jadore tes vidéos  bonne continuation  ,39,9
Habib Habib rani zafna yain gadoni larga msakn limato ,54,19
Je te souhaite que de la réussite dans ta vie Inchalah  ,56,14
Kichghol tkon dor f aman rabi ata tela comonter kima hada ,58,21
Allahu na boft krejt si sheid po duhet mejadhan hakun hafes Adem Aliu ju lutem me mir kuptim na ktheni psurin ,110,38
were in Hirafok  Hirafok  this is it ,37,15
Hinoka Ludenberg après perso jaime les musique de pnl mais celle de fatal cest un classique moi cp je chanter ça aussi  de temps en temps sà fais du bien du fatal  ,164,41
 Dernier jour ta ramdhan rabi ytabal ,37,14
   a bon dork Constantine ma fiha walou ,40,16
hh Dior Dior ta batal wahdak ya jawad rabi ywafak akhi ,55,19
Khoya miloud zayer rohak chwia hh ,34,13
Si seulement tour les jeunes etai comme toi ,44,11
Bon courage djawed  rana mak  ,30,9
Mabrouk lik tu mérite bravo pour le reste ,42,13
yatik essaa jamel ou rabi y wafkak  ,36,14
had nass amazigh un pays qui connais pas sont histoire est condamné a la répété ,80,22
Si pakh pakh pakh  General toufik,33,12
Suphan allah thank u for sharing this with us and inshlah you are doing well  ,78,20
Toop frr and toop vlog ctn ,27,12
Ana men tlemcen de alah ybarek la lkada dziriya tmenit lwkan rani mahom ,72,27
Nta maandakch zhar lokman kol yom yzidolo k fi nhar wahad ,58,23
Dans les années  boucoup cracher sur l Algérie pour faire plaisir au pieds noir ,80,20
Il te faut un Climatiseur  un prise courant v  essaye de penser dinstaller de lénergie solaire  panneaux  inverseur  batterie  ,127,35
khaja bla el atrouss makan makan ,33,11
Khouya Djamel Allah ybarek bonne continuation ,46,14
Ya weddi hiya foukaha ou kemlou djedha hetta fel titre wechbikoum habssine hakda ,81,29
why u didt use a bike  ,23,9
Merci la vlog haka chabin jaime trop  ,38,11
Hicham khoya rabi ywafak rak jayabha w charaftna w nabghiwak w nchalah nawnok ,78,31
Prendre la décision de quitter lAlgérie ne se fait pas d  un coup de tête faut bien étudier le pour et le contre se préparer psychologiquement à tous et vraiment tous  Du coup moi je ne suis pas pour lintégration avec lwer  on vient pour des objectifs et faut avoir le coeur solide  chacun son avis chacun son expérience good luck et rien nest gratos dans la vie  ,364,87
Jijel la Merveille nchalah nchalah rahi f hosban lol ,53,20
Salam alikoum franchement jaime bien tes vidéos mais franchement tu ressembles grave tu sais à qui a lacteur algérien aliouette même tu parles comme lui allez one two three ,173,41
As always youre the best YouTuber ever congratulation for the k subscribers ,76,15
Chuis vraiment désoler mais en tant qAlgérien on ne deverais pas justifier les violances faites aux femmes la culture du bled rien ne justifie le fait qun homme puisse lever la main sur sa femme ,195,46
Louni Said Hadh el hadra alli dir elfitna rana sadjou fi ouelda ouachdjeb doula hna ehna nhabou bledna chaba ,109,39
Klabeteha tbazniss hh khalit marikan ou Jay ldzayer Machi affair ,65,23
A quel heure il est diffusé ,28,9
Watash VLOG Ghardaia x DZZ SABI ,32,14
haja lmliha cest que bakri makanch les feministes bah ycommentiwlo xd ,70,24
Jaimerais bien c tu vien à tenes elle aussi belle béni hawa tanni ,66,21
So professionnal khubaib keep it up ,36,11
i like it u should make more ,29,9
Ya khwatatie wa khouti eya ndamou walde bladna fhale eya partager les video machi ki ja ben fatouta ga awantouhe Vive wlade bladie  ,132,43
Djamel old abass aussi études la bas ,37,12
asil sisi ya srah fkrtni f yamat l oustadh noureddine bon courage fl bac ,73,24
bravo mes frère rako dayinha hada remdan meilleurs série bon continuation rebi yawenkom ,88,23
Bsahtek khoya Djamel lah ybarek khraj latrus foor bon continuation mon frère ,77,25
introo haja foor bzf sahbé dima dir hakk f intro shortfilm ,59,19
djamel rebi yahafdek akhi  ki nchouf les videos tawek terdjali dahka wellah  nta une source de positivité lah y barek rebi ykhalik lina  pour moi tes le meilleur youtuber w influencer fel MONDE enaam fel monde tes videos ykhalouni nkoun plus productif  ndir sport  nakhdem etc  tes ma source dinspiration ,305,90
Wow mor of this videos plz ,27,8
Slm lach madirch le tour de France a euro et je vais théberger si tu veut ,74,23
miloud w kada diron lijou gamang fi ramadan lah yakhalilak fimkom  ,67,22
Dok win ntbeht lhed la vidéo vraiment foor MERCI  ,50,16
Fatal  Mets tes mains dans tes cheveux  Légendaire XD ,54,17
Semih  Djamss  khfif w chbab wesh rayek  Ou bien  Elwiiw  bravo djamel bsahtek vraiment frahtlek et nchallah plus de réussites ,127,53
Bien Bien Bien Bien Bien Bien ,30,8
Thé Best podcast MashAllah rani jay la jal formation  ,54,14
Jijel sans commentaire elle est super jolie alors la les montagnes li en face les plages magnifique nhbha hta tlftli kich nhki aliha biha bnasha ,145,38
kemlteha Inchllh rebi yahdi siyed li rfed bagage ta khona rahalista ou dok nabonilo rebi ywfkk lziz khok_men_aintaya ,117,45
Rebi yrhmou nchlh  bn cntinuation ,34,14
MachAllah alik quel bel esprit dynamique Vous devriez enseigner la psychologie positive pour les entrepreneurs ,111,22
Amazing place amazing view ooh my god i want to go bonne continuation mon frère ,80,18
Liando char sfar nachaq fih yaraf ymatal whadarto chaba w latay dyalo chaba w rajala ga khadain w khalatin ,107,38
Ana man sida w nhb tlemcen bzf ,31,13
Direlna machair et achour et yema hedou Berk li nchoufhom ,58,21
 InshAllah Kashmir will be free soon ,37,10
they are the best brainers  ,28,8
Inimaginable  quel spectacle  Vous avez ça en Algérie  ,55,16
FURIOUS  GRÂCE À TOI CEST MA MUSIQUE PRÉFERÉE  Je taime  ,57,23
just boil the hell out of it ,29,9
As known as DEGLET NOUR Super high quality dates  I believe theres no Algerian family that doesn not consume DEGLET NOUR  Today I want to show you  how these fabulous sweet mouth watering dates  are collected right from the step of harvesting to the final stages of delivery From where I stand the palm garden seems to be devided into two parts The part from there is already reaped And the part from here is still not And it is here where we will be living our experience  As you can see the clusters of dates are still hanging up in there But on the other side the process is over Only these plastic bags are left on the ground Later on we will explain the role of those plastic bags because at first glace it may give the impression of pollution However the truth is these are to be kept for next year to reuse for the same purpose And now were going to brother Amrou As he is the one to clarify the procedural stages of dates harvesting  MUSIC Hello brother Amro,966,199
Je me suis fait un kiff Nostalgique ,36,12
Afdel hala f gar la serie ,26,9
Ya khouya bedeleh twiyo te lmazout direh te nhas Ana chibani tai Kan yekseb lvan daymen kol mayjib van ymodifih ,112,39
Lmoral yatla win nchofo les videos dyewelkom ,45,15
Kind regards from Moroccan in Ireland  ,39,8
Le témoignage de la personne qui a dénoncé et celui des enfants est entendu par le juge mais le témoignage des parents nest pas pris en compte parce quils sont la cause de ou des violences et ça cest pas juste,209,48
Et vous parlez de changement  Avec larmée ils font passer qui ils veulent ,74,18
Grand homme est celui qui élève ça voit quant il le faut ,57,15
   saha sassili la les états unis new York  ,44,15
Ki lada toujours top brssahtekom kho ,37,12
lukan labali rani jit iyidte imakum ayça fi Istanbul coté europien ,67,21
Les  premières minute top kho tres professionnel allah ybarek ,62,15
Tjrs au top rebi ybarek  ditna thwissa deriere nos ecrans rebi yhfdek ,70,29
Thanks bro  you are the best  ,30,9
jaimerais que ce soit beaucoup plus long la prochaine fois Bon courage Ramzi ,77,18
 encore la nchouf fih rabi yerham belaha ,41,15
Bibou hh nslflk chwiya ss hh ,29,14
jaime tros  cool foufou oika oika ,34,13
Mashallah cest très beau tu nous fais découvrir notre magnifique pays bonne continuation t au top ,98,19
rak parkit fel passage pieton  hh ,34,11
Had syied fhem dzaier aller retour ,35,12
Ils vont rester dans lhistoire du cinéma Algérien ,50,12
Mon podcast préféré merci beaucoup ,35,7
Vraiment ça fait plaisir bonne continuation ,44,10
Ntaya walah hayal miyor youtyobar andi ,39,15
Slm khoya Jamel rabi yahfdek nechalleh o Rak bayn fik wlid familia o galbek Safi  Ana khouk nasro min annaba o andi  jours mili chouft les vidéos tak Macha alah khouya marhba bik andi fi Annaba wiwe  ,200,68
ya djamel allah yhafdek  endek flotteur jauge carburant  soit nettoyage  soit khit  wela adou ga  ,98,34
you are cutting tree to make fire ,34,9
Quelle banger le prime de la France ,36,10
Its a Good trip hi Well it looks like youve made a new fan ,59,19
Toop toop toop mashaalah yaatikoum saha ,40,15
Ya omrii fol sgir yhbl lah ybark ,33,13
Haja li tajabni fiik bzf cest que tencourager kml les jeunes algériens li andhm mohtawa chebab,94,31
Thank yuo for dis video he was so halp me ,42,14
Ses un truc de dingue comment elle tient la route cette musique ,64,15
Tfadal ha elharki rabi yrhmk blaha ,35,16
Kada raw dmo khfif lyoma hh ,28,12
Dites vous que ça fait  ans ,28,10
jiji Ben ma yalhgahch hta f sba tmoutou la lbarani kharay ja man bara darto lih hala ,85,31
Chkoun Chaf hagrouna ki sra arjoun banan m tabla   mn ,54,21
Machalah baraka allah ou fik Allah hawnek  ,43,12
your english is perfect bravo good luck sahbi ,46,11
Can you tell us where you filmed this videos ,45,11
Vidéo merveilleux et magnifique Utilisezvous un téléphone S ,60,13
Decembre wla kont free madabiya netlakaw w twerihali mlih la ville ,67,24
J écouter au fatal bazooka j usqua ma mort ,43,14
Il a changé son commentaire ,28,7
Un format plus long serai bien quand cest intéressant on sen lasse pas ,71,17
Comment tas réussi a revenir jusquen haut  ,43,10
Great video One of your best You were very lucky to capture footage of the Leopards ,84,19
brafo lik khadmtih mazian ghir hwa kon darti blsa dyal lhwyaj taht lkorsi ,74,30
 fi el chbab les jeunes ,24,8
chapelon neil Jaime bien soprano depuis que jai  ans jai adoré la colombe aujourdhui aussi il fait des sons barman que jécoute en boucle cosmo Fresh Prince et autre bien sûr ça part dans le commercial comme tous les chanteurs connus mais je le ressens moins que chez Gims  ,273,68
Ana  er biologie  Nrfham dija les incubateurs Grâce à club sintific dkhla fih ,78,25
Je préfère une musique quui qui convient avec le thème ,55,14
top wlid homtii raby wafaQ Nchlh ,33,16
AliNasri Ana tofla mn  Dz  nlb foot ,36,15
Que dieu récompense nos moujahidine dans cette vie et dans l au delà amine ,75,19
Il ny a pas de pays avec ce nom le Sahara est marocain ,55,16
Ahh ya jamal Choftk tfrahni kho ,32,13
Li hab ychof lhistoire ta abdone porté ydkho andi yla l vidéo  ,63,22
Franchement tu mas  mourrue  de rire lol bref je suis pliée en  Merci Samir fort à fel waer ,92,29
I love that mina is switching languages according to her guestsits cute polyglots things ,89,19
Very nice video  good job ,26,8
My dream is astronaut at nasa and I liked the topic ,52,13
Not him playing a korean song in a video about Japan XDD,56,14
youre outfit is dopeyoure so stylishkeep it up bro ,51,15
Tu nest pas seule a adorer ,27,9
el afsa c ke dakhlet aslen mala tawes la baha  manatha chamet chakhchoukha bel ma tedkhoul l dar  tji tefhem tir hh ,116,43
Pourquoi tawal bach dir les vidéos ,35,9
Toop bravo bladna bzef chaba hna manaarfolhash lokan nokhrjo tetseem hh ,72,26
 batell ajbtni ghir les dz yafahmou hh ,39,16
Mais ça cest partout dans le monde ,35,9
G les sujet chabin bsa winta diroulna la space mli bra Ramadan wana nara winta dirou la had sujet ,98,29
Cest juste de la bombe atomique cette musique Cest certes beauf mais cest une putain de musique à mettre surtout quand tes rabat en fin de soirée ,146,35
Khadem rjel sidhom Jawed rabi yawnek matanssach drahem hlel mayjouche b sahel Allah ybarek ,91,33
Plutôt ils doivent sadapter sinon rester làbas on ne veut pas une autre colonisation linguistique ,98,22
Use crash Glu for the eyes glass ,33,9
Mon rêve cest de participer à achour  je suis oranaise comme razane et farece et aussi vous savez que la vraie femme de fares est Maria je connais presque tout et jai appris tout les textes de la saison  je vous jure ,217,53
Anta toop kouya djawed bonne continuation artiste ma rasek weld bladi ,70,19
Walah  ça me fais énormément plaisir li andi wlid bladi haka lahi bark walah t le number onu hbibi bon courage ,111,33
Ça faisait un bail que je lavais pas entendue cellelà o ,56,16
Marhba bik fi Batna ila jit ani hna naatlk blays foor ,54,21
Baraka Allahou fik aussi davoir donné la parole à ces jeunes garçons Allah yahfadhoum ,86,23
C est une évaluation de la situation familiale ,47,10
kamal khouya rana nhabouk ya batal hh ,38,14
Khoya laziz nta fi rassak chebab win troh tradeha chaba keep going brother ,75,22
   djit l tlemcenchaba allah ibarek mais nassa bzzf ,52,23
Mandi hta haja ntebaha ghirkom wlh bravo ,41,17
ki lada jaime kbal manabdaw selaket lhasla hh ,46,18
AtRhmo ala belaha nsito wch dahknaa rb yrhmo nchlh  ,52,23
Un podcast pas comme les autres Bravo ,38,9
Mliha bejaia hein Les tolérants je vous aime les bougiotes vous êtes les meilleurs de toute lAlgérie ,101,29
Waila rir ana li chaft ticket f sac tae yamat didine  ,54,18
Nas bdjaya allh ybark Ana ma lgharb wrayha nzawdj tamk ,55,22
I dont understand a word of Arabic but still enjoyed your journey Great filming too ,84,17
Pour quand une nouvelle vidéo ya Djamel  Rak tawalt Alina  ,59,16
Wehe kheya riketre m les vloge  ,32,13
its so good to let us travel with u  its seem to be a peaceful place with delicious fruits and nice ppl ,104,25
rabi yrhm nori wlh la khadni bzaaf ,35,17
   thank you so much brother for replying Im a big fan  Your a inspiration for bigners like me  Thank you so much for beautiful pictures and videos ,148,37
saha ramdanak enregistre la carte de la ville là ou tu es sur google maps comme ça tu peux naviguer sans connection ,116,29
Bravo léquipe le seul programme algérien que je laie suivi cette année ,71,18
Belle ville je t encourage de continuer ,40,9
edjbounii hduk dreriu sgher djibhumelna mak hh ,47,20
Yaa Khoya je suis plus grande que toi mais wallah dite menandak ayta swalah positif rabi ybarak fik wald bladi ,111,33
Khawti les Touaregs amazigh du sud de notre terre pure et libre Kurama Ahrar machalah Un énorme soutien et salut dun kabyle du Nord  Rabi yahfadkum u Isahel umurekum u ifarahkum  Tahya lAlgérie TAHIA ANP  ,205,63
HADIK LMLYON LI MRT BIHA LMAZOT ADTNI FBLASTK ,46,23
Cest des plaisirs simples mais les plus beaux de lexistence ,60,15
Had linformation qritha f cem ème anne ,39,12
Even better than the footage from the Ngoro Ngoro Crater and the music track was well suited for the imagery as well Very enjoyable ,132,28
That was an incredible recitation for my part ,46,10
Wachnoo lach zama ntouma lii khdamtou lpitrol wella ntouma des couisiniés  ,75,30
Kada Rak nsit Messi daha tani fal ,34,11
bubann je ne suis pas daccord avec toi déjà  tes parents ne te laisse pas ,74,20
Très contente de tomber sur votre chaine qui soit dit en passant est une pépite pourriezvous inviter une personne trentenaire  nouvellement arrivée en France et qui compte faire une reconversion professionnelle et recommencer à zéro je crois que cela interessait bcp de gens dont jen fait partie Milles Mercis ,310,66
Charming Beautiful rabi yahdikom ya rab naktoha b tatyah alahoma ini sayam ,75,23
Rawaa takhmamek philosophe mashallah vous avez analysé ce qu est la vie ,72,21
Tbarklah lik a khouya  chokoran la mjhoudate dywlke ,52,21
Jawed khouya kane tema bénévole manarat la tlaitah keroum houari khaltek men Canada ,84,26
Yasmine Kebbati mrc dakhal ta yasoo lol ,40,14
merci pour ces magnifiques souvenirs khoubai ,45,12
Je vous adore hameau et hichem tre foopoor ,43,15
Je vous remercie infiniment pour cette magnifique vidéo de Tlemcen je vais bientôt la retrouver InshAllah il y a de splendides régions en Algerie que jaimerai découvrir InshAllah ,179,41
First time i see an original idea Good luck ,44,11
Salima Monique que el hejab  incha Allah ,41,13
Ana ayech fi frança manensahkomch b national psq fiha bzaf les radars w tiho tiho f radar li yflachikom psq kayen bzaf les plaques kmh alors que les radars ta lautoroute baynin telkaw limitation kmh khatra fel fal alors que national koul dkika plaqua w zid prociyat ghalyin bzaf ana sratli w mawelitch nahkem national nahkem ghir lautoroute w Rabi yester koul wahed ,366,109
Bravo kho  Ida takder dir English subtitles l montage waar music fort merci Rebi yjazik  Bonne continuation ,108,28
Wlh ghi had silsila chaba bazaf w tfidek bazaf ,47,19
The low pants I usa is to separate the man from gays ,53,14
Witam i dziękuję za piękne filmy dzięki tym filmom nie poddałam się chorobie nie mogłam być z wami ale jestem ,110,31
Je vous ai découvert hier et jai pas pu laisser mon tel cest super cest trop beau ce que vous fête ,99,23
Ooo en fin twhchnak ça fait plaisir vidéo men nd Djamel bon Contuiation ,72,23
Franchement un travail dune grande qualité je suis plié en deux ,64,16
Axoukoum men tounes xaseni  ala ,32,14
Salam Brother I am happy you are fine I have to tel you it is one of the most interesting video I have seen so far It is a huge improvement you are in the right way I hope one day you will be as famous as sir David Attenborough Keep going ,239,56
Bilal nta for khouya  rani msalem lik bezeff Nmout lik ,55,21
ihh fakartni f bejaia w tent camping with ma homies in aiguadeslkhalwii yeaahh  ,80,27
Très beau travail continue comme sa ,36,8
   jai peut être été un peu trop violent cest vrai ,51,16
Zebi rana aychin kalya f lAlgérie wallah ,41,16
Hak hada line ta interior lifevan machi kima taak kima ta sabk mais balak tsadak diga interior ta Volkswagen rib ga kif kif hak line  ,134,37
Djawed vlog je suis de tlemcen jaime bien tes vidéos et jaimerais bien te rencontré ,84,24
chekon li kherdj el roman men el dzaiir  OUI EL AMAZIGH IL FAUT DIRE CA EL MARICANI  ,85,30
Vraiment khouti yatikom saha bravo et bonne continuation ,57,15
   I sent u mine but u didnt ,29,13
Vraiment cest dès grand acteur félicitations pour les deux et pour le scénariste aussi bravo ,93,23
Vlog bzeef eta lah ybarek bsaetkom Rak toop khoya ,50,21
Mohamed Djamel Taleb allah tatik el khiir ,42,15
Bah cest une merde questce quont y peut   Je suis sincèrement désoler pour toi qui tu soit comme lui  ,102,27
hh hayyela vous refletez une jeunesse dorée big up to all of u ,63,20
Très bon podcast bravo à vous ,30,8
KEEP GOING WE ARE PROUD OF YOU ,31,11
Life in ease and ducks swim   ,30,8
Jai trop aimé lepisode et jai partagé la video avec ts mes amis Bon courage du Maroc ,85,21
Salam Djamel  merci pour ton contenu tu arrives à nous transmettre des émotions incroyables merci de nous faire voyager  un salam de Montpellier ,145,32
A mon avis Il faut y aller au consulat dAlgérie et demander daide et ce quil peuvent faire pour eux il faut insister Rabi issahal ,130,33
Un bon son de merde mais c ca qui est genial   credibilité  serieux  delire  je sens que ce matin va etre une pure soiréée  ,124,36
Allah ybarek fik mous petit frère Salem ,40,11
you are one of the best youtubers in the world  Wish u all the best wald bladi ,79,24
Good job bro all the best ,26,8
Rani maytta bé dahk harrachi wahdou ,36,14
C eat de la pirythe he crisis Elle est tres presente dans les zones volcaniques ,80,19
Non rosa est entrée à Alger ,28,8
Yanis Ghor de quoi je me mêle  ,31,12
Ih sa houma darou hadak el ktab ta bro anwarrudy mancuso nd the friends of shots studio ,88,28
bsahtak akl el halouf rabi yahdik ,34,15
toop khoya wlh ghir hata bsahtkom ,34,15
Voyager cest quelque chose de magnifique mais jai une question stp dou vous ramener largent pour voyager esce que votre job régulière si vous en avez vous suffit pour aller au malaisie cuba madrid etc  ou sont tous financés par des entreprises ,244,52
Khawa khawa we masir wahd rana fi rabi yefrj lina inchalah ,59,22
Hd video mawdo whd  khtra bla ma nkrah ,39,15
Par contre à h du mat tous les jours je me réveille et je suis grave au taquet à faire tourner ma nana entre deux pintes de café,128,32
Ntik wda Mlia  le site wtholna fi vd kima hdha wd kydkhol rhi fiha swrd mla ,76,33
Merci djawed mais vidéo naaes  Oran kbiira c em paris ,54,18
Shbi mnindek tisha wmnindek takhraa fiha ,41,18
Après le covid viens chez moi pour fair des partie among us ,60,14
ya kho kifah ndr ndkhl drone l alger ,37,15
Enfin hsebt marahch ykoun kayen zoom had lam ,45,16
Sabi wlh la ktltni b dak ,25,12
The mahious part got me  ,25,8
Un pour les photos de mal avec les enfants de mal à la recherche dun emploi je vous remercie par avance pour votre réponse ,123,26
Allh yebre beladi chaba w marhba bikom fi kol wakt ,51,20
Magnifique votre emission cest très créatif  ,45,10
Jespère quun jour je pourrais ce que tu fais avoir la chance de commencer une nouvelle une nouvelle vie ,104,24
Bn continuation à la hauteur comme dab ,39,9
Un grand BRAVO wallah tu montres très bien comment il est facile et tellement simple damuser et de passer des beaux moments f bladna adna kol kheer il faut brk lwahed yarf win yroh w surtt mamen Mrc bcp pr ce vlog ,214,60
Rakom tachkloha fi haja min tji fa drahm ma tgolonach chal ima tahom ba jazayriya ,82,29
create your joy wherever you are not necessary in maldives ,59,13
En bref tu fais de très belles choses je te souhaite bonne continuations ,73,16
saalam ikhwani Aduli rabi yarZagni baby ,40,15
Salam hal sa taoud li amrika am la ,35,12
Très beau reportage bonne état désprit Bsartekoum ,50,14
chkoun li tale djawad doka hadi mafhamthach wala machi endine ou wala machi lokmane chkoun  ,92,30
Ya kho tich ki tzid jib latross lbougara oli svp et même rak maroud lftor mnydin lhaja kho ,91,32
Je suis vraiment désolé mais ce que je trouve vraiment étrange dans cette histoire cest quil navait pas dargent et quil a prêté de largent  DA à son ami alors quil travaillait depuis des années chez son pere il a meme pas eu DA durent des annees de travail  ,258,62
labali rani retard bzf khouya khoubai Jawazt el id fi Malaysia wal hamdolilah wallah ma assit bel ghorba ki tkon f blad mosslima ma tassch bel ghorba meme ila kan diffirent f taalid  w kima al bibna li ma yatarakch w ma yjarabch amro ma yakem  ,244,81
Machallah lik khoya jabni nachate ntaak nta insane hayawi Allah ysafaak ,72,21
Barcelona  cest lAthlético de Madrid KHO ,41,13
Dirlna zoom ala ndama tajrahoka el ayam ,40,14
EL KALA KHOUYA TOUJOURS LE BIENVENUE  ON TATTEND ,49,22
Merci pour ce nouveau podcast qui pour le coup était différent des précédents mais non moins enrichissant  ,107,20
rana saymine lah rak dir haka ,30,9
Cest à létat de créer un rêve algérien,38,12
   ta lair davoir une gopro  pour parler comme ça de la stabilisation et de la qualo ,85,26
Cest qui est bien dans ce genre des vidéos on découvre notre pays avec toi et ça encourage le tourisme local ,109,24
   absolutely Im a telepathic Interspecies communicator and couldnt advocate more about the importance of living in harmony with nature ,136,29
Wow what an amazing video Thanks so much Kenneth very inspiring for my own photography Can I ask why you wear a bandana around your face ,137,28
Hopefully we had the same level ,32,8
Rabi yarzak b wald nchlh khli ya khal ,38,16
The best vlog in the world,26,7
Marwan Kaileh le sahra occidentale occupé par le Maroc il est de puis quad quil est marocain va relire lhistoire ,113,29
jbni dawr taeou yrf ykhmm mlih ,31,16
Plz le titre te la chanson telya  ,34,11
the song of the outro please guys ,34,9
Hhh yaa rabii wellah jebtoha nichan ,36,15
Merci djamel de nous montre notre beau pays rab iihafdak ,57,17
Wesh tu respectes pas la Turquie   Pas le drapeau du Sénégal  ,62,17
Jaime trop vos vidéos Bravo et bonne continuation ,50,11
 DzHorror  Et dans ENS vous étiez enseignante dans quelle matière exactement  ,78,21
I LOVE you jawad te quiero mocho djawad nhababak jawad bidgawizni ,66,24
Jo ji o io ina io i io õ io ijj io io ô io œj ijj io ih ih io oo io io oi io io j õ ok ij ok io unique ii io io oi ,115,43
Bayna hadi zid direlna le maximum ta les vlogs snn cha dhakt la f jebha oudia le meilleur ,90,28
